No,Name,Country,Mat Played,Wickets,Best,Avg,Economy,Strike Rate,4W,5W
1,Bhuvneshwar Kumar,India,203,222,5\19,26.15,7.69,20.4,3,2
2,Deepak Chahar,India,102,94,4\13,29.99,8.27,21.74,2,0
3,Praveen Kumar,India,100,90,3\18,36.12,7.73,28.04,0,0
4,Umesh Yadav,India,148,144,4\23,29.98,8.49,21.18,3,0
5,Ishant Sharma,India,117,96,5\12,35.18,8.38,25.2,0,1
6,Mohammed Siraj,India,122,126,4\17,30.06,8.72,20.68,3,0
7,Navdeep Saini,India,34,23,3\40,43.96,8.97,29.39,0,0
8,Shivam Mavi,India,32,30,4\21,31.4,8.71,21.63,1,0
9,Umran Malik,India,26,29,5\25,26.62,9.4,17,1,1
10,Khaleel Ahmed,India,76,91,3\21,27.19,8.96,18.21,0,0
11,RP Singh,India,82,90,4\22,25.98,7.9,19.72,2,0
12,Dhawal Kulkarni,India,92,86,4\14,28.77,8.31,20.78,1,0
13,Ashok Dinda,India,78,69,4\18,30.04,8.2,21.97,1,0
14,Vinay Kumar,India,105,105,4\40,28.25,8.39,20.2,1,0
15,Trent Boult,New Zealand,124,145,4\18,27.14,8.49,19.17,2,0
16,Jofra Archer,England,65,77,3\15,26.51,8.13,19.56,0,0
17,Morne Morkel,South Africa,70,77,4\20,27.13,7.69,21.16,1,0
18,Mitchell McClenaghan,New Zealand,56,71,4\21,25.39,8.49,17.94,1,0
19,Tim Southee,New Zealand,54,47,3\20,37.06,8.67,25.66,0,0
20,Josh Hazlewood,Australia,49,69,4\12,22.59,8.47,16,3,0
21,Ryan Harris,Australia,37,45,4\34,23.27,7.55,18.49,1,0
22,Mark Wood,England,5,11,5\14,16.27,8.95,16.27,0,1
23,Chris Woakes,England,21,30,3\6,21.93,8.97,14.67,0,0
24,Wayne Parnell,South Africa,33,35,3\10,26.77,7.78,20.66,0,0
25,Jason Behrendorff,Australia,17,19,3\23,29.05,9.05,19.26,0,0
